date,nino12_sst,nino12_ssta,nino3_sst,nino3_ssta,nino34_sst,nino34_ssta,nino4_sst,nino4_ssta
2007-01-01,24.5,1.1,26.6,1.3,27.7,1.2,29.3,1.0
2007-01-02,24.5,1.1,26.6,1.3,27.7,1.2,29.3,1.0
2007-01-03,24.6,0.8,26.5,1.1,27.5,1.0,29.2,0.9
2007-01-04,24.6,0.8,26.5,1.1,27.5,1.0,29.2,0.9
2007-01-05,24.6,0.8,26.5,1.1,27.5,1.0,29.2,0.9
2007-01-06,24.6,0.8,26.5,1.1,27.5,1.0,29.2,0.9
2007-01-07,24.6,0.8,26.5,1.1,27.5,1.0,29.2,0.9
2007-01-08,24.6,0.8,26.5,1.1,27.5,1.0,29.2,0.9
2007-01-09,24.6,0.8,26.5,1.1,27.5,1.0,29.2,0.9
2007-01-10,25.0,0.8,26.6,1.1,27.4,0.9,29.0,0.8
2007-01-11,25.0,0.8,26.6,1.1,27.4,0.9,29.0,0.8
2007-01-12,25.0,0.8,26.6,1.1,27.4,0.9,29.0,0.8
2007-01-13,25.0,0.8,26.6,1.1,27.4,0.9,29.0,0.8
2007-01-14,25.0,0.8,26.6,1.1,27.4,0.9,29.0,0.8
2007-01-15,25.0,0.8,26.6,1.1,27.4,0.9,29.0,0.8
2007-01-16,25.0,0.8,26.6,1.1,27.4,0.9,29.0,0.8
2007-01-17,25.2,0.6,26.6,1.0,27.3,0.8,28.8,0.7
2007-01-18,25.2,0.6,26.6,1.0,27.3,0.8,28.8,0.7
2007-01-19,25.2,0.6,26.6,1.0,27.3,0.8,28.8,0.7
2007-01-20,25.2,0.6,26.6,1.0,27.3,0.8,28.8,0.7
2007-01-21,25.2,0.6,26.6,1.0,27.3,0.8,28.8,0.7
2007-01-22,25.2,0.6,26.6,1.0,27.3,0.8,28.8,0.7
2007-01-23,25.2,0.6,26.6,1.0,27.3,0.8,28.8,0.7
2007-01-24,25.4,0.4,26.6,0.9,27.1,0.6,28.8,0.6
2007-01-25,25.4,0.4,26.6,0.9,27.1,0.6,28.8,0.6
2007-01-26,25.4,0.4,26.6,0.9,27.1,0.6,28.8,0.6
2007-01-27,25.4,0.4,26.6,0.9,27.1,0.6,28.8,0.6
2007-01-28,25.4,0.4,26.6,0.9,27.1,0.6,28.8,0.6
2007-01-29,25.4,0.4,26.6,0.9,27.1,0.6,28.8,0.6
2007-01-30,25.4,0.4,26.6,0.9,27.1,0.6,28.8,0.6
2007-01-31,25.7,0.3,26.6,0.7,27.0,0.5,28.7,0.6
2007-02-01,25.7,0.3,26.6,0.7,27.0,0.5,28.7,0.6
2007-02-02,25.7,0.3,26.6,0.7,27.0,0.5,28.7,0.6
2007-02-03,25.7,0.3,26.6,0.7,27.0,0.5,28.7,0.6
2007-02-04,25.7,0.3,26.6,0.7,27.0,0.5,28.7,0.6
2007-02-05,25.7,0.3,26.6,0.7,27.0,0.5,28.7,0.6
2007-02-06,25.7,0.3,26.6,0.7,27.0,0.5,28.7,0.6
2007-02-07,26.0,0.2,26.8,0.7,26.9,0.3,28.5,0.5
2007-02-08,26.0,0.2,26.8,0.7,26.9,0.3,28.5,0.5
2007-02-09,26.0,0.2,26.8,0.7,26.9,0.3,28.5,0.5
2007-02-10,26.0,0.2,26.8,0.7,26.9,0.3,28.5,0.5
2007-02-11,26.0,0.2,26.8,0.7,26.9,0.3,28.5,0.5
2007-02-12,26.0,0.2,26.8,0.7,26.9,0.3,28.5,0.5
2007-02-13,26.0,0.2,26.8,0.7,26.9,0.3,28.5,0.5
2007-02-14,26.2,0.2,26.3,0.0,26.7,0.1,28.6,0.6
2007-02-15,26.2,0.2,26.3,0.0,26.7,0.1,28.6,0.6
2007-02-16,26.2,0.2,26.3,0.0,26.7,0.1,28.6,0.6
2007-02-17,26.2,0.2,26.3,0.0,26.7,0.1,28.6,0.6
