date,month,year,temp_min,temp_avg,temp_max,dew_min,dew_avg,dew_max,hum_min,hum_avg,hum_max,wind_speed_min,wind_speed_avg,wind_speed_max,pressure_min,pressure_avg,pressure_max,precip
1,1,2012,17.77777777777778,9.722222222222221,3.888888888888889,8.88888888888889,5.333333333333334,2.7777777777777777,94,77.3,42,19.31208,7.885766,0.0,1019.30339,1015.917,1015.917,0.0
2,1,2012,17.77777777777778,10.5,-17.77777777777778,12.222222222222221,8.0,-17.77777777777778,100,82.2,0,38.62416,17.219938,0.0,1022.68978,1019.30339,1015.917,0.0
3,1,2012,17.77777777777778,12.166666666666666,7.222222222222222,12.777777777777779,9.666666666666666,7.222222222222222,100,86.1,59,14.48406,5.793624,0.0,1022.68978,1019.30339,1019.30339,0.0
4,1,2012,17.77777777777778,9.666666666666666,3.888888888888889,12.777777777777779,8.055555555555555,3.888888888888889,100,91.0,56,14.48406,3.057746,0.0,1022.68978,1019.30339,1019.30339,0.0
5,1,2012,17.77777777777778,9.611111111111109,2.7777777777777777,11.11111111111111,6.7777777777777795,2.7777777777777777,100,84.9,52,25.74944,9.495106,0.0,1019.30339,1019.30339,1015.917,0.0
6,1,2012,21.11111111111111,12.055555555555557,6.111111111111111,10.0,6.833333333333332,2.7777777777777777,100,73.7,43,25.74944,11.104446000000001,0.0,1015.917,1015.917,1012.53061,0.0
7,1,2012,17.77777777777778,10.88888888888889,6.111111111111111,11.11111111111111,7.777777777777778,5.0,100,82.7,56,14.48406,6.9201619999999995,0.0,1019.30339,1015.917,1015.917,0.0
8,1,2012,17.22222222222222,10.055555555555555,3.888888888888889,7.777777777777778,5.833333333333333,2.7777777777777777,93,77.6,55,11.26538,6.115492,0.0,1015.917,1015.917,1012.53061,0.0
9,1,2012,16.11111111111111,8.499999999999998,2.2222222222222223,12.222222222222221,6.166666666666668,2.2222222222222223,100,86.5,67,16.0934,5.310822,0.0,1019.30339,1015.917,1012.53061,0.0
10,1,2012,16.11111111111111,9.000000000000002,2.7777777777777777,7.777777777777778,5.499999999999999,2.7777777777777777,100,81.4,48,20.92142,9.495106,0.0,1019.30339,1019.30339,1015.917,0.0
11,1,2012,16.11111111111111,8.222222222222221,2.2222222222222223,7.222222222222222,5.0,2.2222222222222223,100,81.3,55,14.48406,4.82802,0.0,1019.30339,1019.30339,1015.917,0.0
12,1,2012,17.22222222222222,8.555555555555555,2.2222222222222223,7.777777777777778,4.777777777777779,1.1111111111111112,100,79.0,45,11.26538,4.345218,0.0,1019.30339,1019.30339,1015.917,0.0
13,1,2012,16.11111111111111,9.555555555555557,5.0,10.0,6.833333333333332,3.888888888888889,94,84.2,51,16.0934,9.334171999999999,0.0,1015.917,1015.917,1012.53061,0.0
14,1,2012,17.77777777777778,9.777777777777779,2.2222222222222223,11.11111111111111,6.833333333333332,2.2222222222222223,100,84.1,55,25.74944,11.426314,0.0,1012.53061,1012.53061,1009.14422,0.0
15,1,2012,15.0,11.333333333333334,7.777777777777778,11.11111111111111,8.722222222222223,7.777777777777778,100,85.0,67,25.74944,12.87472,8.0467,1012.53061,1009.14422,1005.75783,0.0
16,1,2012,13.88888888888889,10.777777777777779,8.88888888888889,10.0,8.833333333333334,7.777777777777778,100,89.0,72,28.96812,14.001257999999998,1.60934,1005.75783,1002.3714400000001,995.59866,0.0
17,1,2012,13.88888888888889,10.166666666666664,7.222222222222222,10.0,7.777777777777778,5.0,100,84.9,67,28.96812,10.299776000000001,0.0,1015.917,1005.75783,998.98505,0.0
18,1,2012,16.11111111111111,12.277777777777779,7.222222222222222,10.0,7.88888888888889,5.0,94,76.0,48,28.96812,12.87472,0.0,1022.68978,1019.30339,1015.917,0.0
19,1,2012,15.0,8.38888888888889,2.2222222222222223,7.777777777777778,5.055555555555556,2.2222222222222223,100,80.8,55,14.48406,5.310822,0.0,1026.07617,1026.07617,1022.68978,0.0
20,1,2012,15.0,7.666666666666665,1.1111111111111112,7.222222222222222,4.61111111111111,1.1111111111111112,100,82.4,59,19.31208,6.9201619999999995,0.0,1026.07617,1022.68978,1019.30339,0.0
21,1,2012,15.0,7.666666666666665,1.1111111111111112,8.88888888888889,4.944444444444444,1.1111111111111112,100,84.6,55,12.87472,5.149888000000001,0.0,1019.30339,1015.917,1015.917,0.0
22,1,2012,15.0,7.666666666666665,2.7777777777777777,10.0,5.944444444444446,2.2222222222222223,100,89.0,67,12.87472,4.82802,0.0,1015.917,1012.53061,1012.53061,0.0
23,1,2012,17.22222222222222,8.222222222222221,2.2222222222222223,8.88888888888889,5.944444444444446,2.2222222222222223,100,87.9,55,19.31208,5.471756,0.0,1012.53061,1009.14422,1009.14422,0.0
24,1,2012,17.22222222222222,9.000000000000002,2.2222222222222223,11.11111111111111,5.833333333333333,1.1111111111111112,100,82.7,52,16.0934,5.310822,0.0,1012.53061,1012.53061,1012.53061,0.0
25,1,2012,17.77777777777778,9.166666666666666,2.2222222222222223,11.11111111111111,6.888888888888888,2.2222222222222223,100,87.0,56,11.26538,4.506151999999999,0.0,1012.53061,1009.14422,1005.75783,0.0
