date,month,year,temp_min,temp_avg,temp_max,dew_min,dew_avg,dew_max,hum_min,hum_avg,hum_max,wind_speed_min,wind_speed_avg,wind_speed_max,pressure_min,pressure_avg,pressure_max,precip
1,3,2012,16.11111111111111,10.111111111111112,5.0,10.0,7.444444444444445,3.888888888888889,100,84.3,67,19.31208,9.173238,0.0,1026.07617,1022.68978,1022.68978,0.0
2,3,2012,21.11111111111111,12.277777777777779,6.111111111111111,13.88888888888889,9.11111111111111,6.111111111111111,100,83.0,43,24.1401,12.87472,0.0,1026.07617,1026.07617,1026.07617,0.0
3,3,2012,17.77777777777778,12.277777777777779,7.222222222222222,12.222222222222221,9.444444444444445,5.0,94,82.9,63,22.53076,10.299776000000001,0.0,1029.46256,1029.46256,1026.07617,0.0
4,3,2012,18.88888888888889,12.555555555555555,7.222222222222222,12.222222222222221,9.166666666666666,6.111111111111111,100,81.5,52,19.31208,9.012303999999999,0.0,1026.07617,1026.07617,1022.68978,0.0
5,3,2012,17.77777777777778,14.11111111111111,10.0,12.222222222222221,9.444444444444445,7.777777777777778,94,74.2,59,22.53076,8.368568,0.0,1026.07617,1022.68978,1019.30339,0.0
6,3,2012,15.0,10.666666666666668,7.777777777777778,10.0,8.555555555555555,7.222222222222222,100,87.8,72,19.31208,1.9312079999999998,0.0,1022.68978,1019.30339,1019.30339,0.0
7,3,2012,13.88888888888889,8.333333333333334,6.111111111111111,7.222222222222222,6.333333333333332,5.0,100,87.4,59,25.74944,16.0934,0.0,1022.68978,1022.68978,1022.68978,0.0
8,3,2012,12.777777777777779,10.0,7.222222222222222,8.88888888888889,7.777777777777778,6.111111111111111,100,86.8,72,181.85542,21.404222,8.0467,1022.68978,1022.68978,1019.30339,0.0
9,3,2012,12.222222222222221,9.333333333333332,7.222222222222222,10.0,7.666666666666665,6.111111111111111,100,89.9,77,25.74944,12.391918,0.0,1026.07617,1022.68978,1022.68978,0.0
10,3,2012,13.88888888888889,12.444444444444445,8.88888888888889,11.11111111111111,8.38888888888889,7.222222222222222,94,77.1,67,28.96812,17.541806,8.0467,1026.07617,1022.68978,1022.68978,0.0
11,3,2012,16.11111111111111,11.277777777777777,7.222222222222222,10.0,7.5,5.0,94,79.0,52,37.01482,12.07005,0.0,1026.07617,1022.68978,1022.68978,0.0
12,3,2012,17.77777777777778,13.222222222222221,10.0,11.11111111111111,8.88888888888889,7.222222222222222,88,76.8,49,22.53076,7.24203,0.0,1026.07617,1026.07617,1022.68978,0.0
13,3,2012,17.22222222222222,11.88888888888889,7.222222222222222,12.222222222222221,8.444444444444446,6.111111111111111,100,80.8,55,46.67086,12.713786,0.0,1026.07617,1026.07617,1026.07617,0.0
14,3,2012,20.0,12.777777777777779,7.777777777777778,12.777777777777779,8.777777777777777,6.111111111111111,93,77.3,46,19.31208,11.587248,0.0,1026.07617,1026.07617,1026.07617,0.0
15,3,2012,17.77777777777778,12.277777777777779,6.111111111111111,13.88888888888889,8.944444444444445,5.0,93,81.2,52,25.74944,11.748182,0.0,1026.07617,1026.07617,1026.07617,0.0
16,3,2012,23.88888888888889,15.722222222222221,10.0,12.777777777777779,9.555555555555557,7.222222222222222,88,69.2,38,28.96812,14.001257999999998,0.0,1026.07617,1022.68978,1022.68978,0.0
17,3,2012,17.77777777777778,14.333333333333334,11.11111111111111,13.88888888888889,11.555555555555554,7.777777777777778,94,84.7,73,22.53076,7.402963999999999,0.0,1026.07617,1026.07617,1022.68978,0.0
18,3,2012,17.22222222222222,13.38888888888889,10.0,13.88888888888889,11.722222222222221,8.88888888888889,100,90.6,82,28.96812,9.816974,0.0,1026.07617,1022.68978,1022.68978,0.0
19,3,2012,17.22222222222222,13.055555555555555,7.777777777777778,13.88888888888889,10.944444444444446,7.222222222222222,100,88.3,67,14.48406,8.0467,0.0,1026.07617,1022.68978,1022.68978,0.0
20,3,2012,21.11111111111111,16.11111111111111,12.222222222222221,15.0,12.555555555555555,10.0,94,80.4,53,14.48406,6.759228,0.0,1026.07617,1019.30339,1015.917,0.0
21,3,2012,21.11111111111111,15.277777777777779,8.88888888888889,15.0,10.61111111111111,6.111111111111111,87,74.5,59,14.48406,4.184284,0.0,1022.68978,1019.30339,1019.30339,0.0
22,3,2012,20.0,15.38888888888889,12.222222222222221,15.0,11.722222222222221,7.777777777777778,94,80.0,64,25.74944,9.173238,0.0,1022.68978,1022.68978,1019.30339,0.0
23,3,2012,18.88888888888889,14.555555555555555,11.11111111111111,13.88888888888889,11.88888888888889,10.0,94,85.1,68,19.31208,5.793624,0.0,1026.07617,1022.68978,1019.30339,0.0
24,3,2012,17.22222222222222,15.166666666666666,13.88888888888889,13.88888888888889,13.0,12.222222222222221,94,87.8,82,11.26538,1.60934,0.0,1022.68978,1019.30339,1019.30339,0.0
25,3,2012,17.22222222222222,15.11111111111111,12.222222222222221,12.222222222222221,11.88888888888889,11.11111111111111,94,80.9,68,16.0934,4.667085999999999,0.0,1022.68978,1022.68978,1022.68978,0.0
26,3,2012,20.0,14.5,8.88888888888889,12.777777777777779,10.833333333333334,7.777777777777778,94,79.7,56,14.48406,4.184284,0.0,1022.68978,1022.68978,1019.30339,0.0
27,3,2012,17.22222222222222,15.055555555555555,12.777777777777779,15.0,13.222222222222221,12.222222222222221,100,89.7,77,11.26538,1.1265379999999998,0.0,1022.68978,1022.68978,1019.30339,0.0
28,3,2012,17.22222222222222,14.5,12.777777777777779,15.0,13.61111111111111,12.777777777777779,100,95.3,88,11.26538,2.735878,0.0,1022.68978,1022.68978,1019.30339,0.0
