date,month,year,temp_min,temp_avg,temp_max,dew_min,dew_avg,dew_max,hum_min,hum_avg,hum_max,wind_speed_min,wind_speed_avg,wind_speed_max,pressure_min,pressure_avg,pressure_max,precip
1,3,2012,21.11111111111111,11.61111111111111,6.111111111111111,12.222222222222221,8.88888888888889,6.111111111111111,100,85.1,49,22.53076,7.0810960000000005,0.0,1015.917,1012.53061,1012.53061,0.0
2,3,2012,17.77777777777778,12.444444444444445,7.777777777777778,12.777777777777779,9.722222222222221,7.222222222222222,94,84.7,63,19.31208,6.43736,0.0,1019.30339,1015.917,1012.53061,0.0
3,3,2012,17.77777777777778,11.333333333333334,5.0,10.0,7.222222222222222,3.888888888888889,94,78.5,52,20.92142,6.9201619999999995,0.0,1019.30339,1019.30339,1019.30339,0.0
4,3,2012,20.0,12.277777777777779,5.0,8.88888888888889,6.4444444444444455,3.888888888888889,93,71.5,37,25.74944,12.713786,0.0,1019.30339,1015.917,1015.917,0.0
5,3,2012,18.88888888888889,14.055555555555554,10.0,12.777777777777779,9.833333333333336,6.111111111111111,94,76.5,60,24.1401,13.035654,1.60934,1015.917,1012.53061,1012.53061,0.0
6,3,2012,17.22222222222222,12.666666666666664,7.777777777777778,12.222222222222221,9.555555555555557,6.111111111111111,94,82.4,59,27.35878,10.943512,0.0,1012.53061,1012.53061,1012.53061,0.0
7,3,2012,16.11111111111111,10.0,3.888888888888889,7.222222222222222,2.2222222222222223,-17.77777777777778,93,66.6,27,27.35878,10.138842,0.0,1019.30339,1012.53061,1012.53061,0.0
8,3,2012,17.77777777777778,10.944444444444446,3.888888888888889,8.88888888888889,4.000000000000002,1.1111111111111112,93,65.9,37,33.79614,12.87472,0.0,1019.30339,1015.917,1012.53061,0.0
9,3,2012,13.88888888888889,9.888888888888888,3.888888888888889,8.88888888888889,6.4444444444444455,2.7777777777777777,94,80.3,55,22.53076,9.173238,0.0,1019.30339,1015.917,1012.53061,0.0
10,3,2012,13.88888888888889,9.38888888888889,5.0,10.0,6.611111111111111,3.888888888888889,94,83.7,63,22.53076,8.207633999999999,0.0,1019.30339,1019.30339,1019.30339,0.0
11,3,2012,17.22222222222222,9.38888888888889,2.2222222222222223,7.777777777777778,4.722222222222222,2.2222222222222223,100,75.6,37,20.92142,7.563898,0.0,1019.30339,1015.917,1012.53061,0.0
12,3,2012,18.88888888888889,10.944444444444446,2.7777777777777777,7.222222222222222,5.444444444444443,2.2222222222222223,93,71.8,40,19.31208,6.43736,0.0,1015.917,1015.917,1012.53061,0.0
13,3,2012,22.22222222222222,12.666666666666664,5.0,11.11111111111111,7.222222222222222,2.7777777777777777,93,72.5,43,20.92142,7.724831999999999,0.0,1012.53061,1012.53061,1012.53061,0.0
