date,month,year,temp_min,temp_avg,temp_max,dew_min,dew_avg,dew_max,hum_min,hum_avg,hum_max,wind_speed_min,wind_speed_avg,wind_speed_max,pressure_min,pressure_avg,pressure_max,precip
1,12,2012,13.88888888888889,9.722222222222221,7.777777777777778,7.222222222222222,6.111111111111111,5.0,87,77.8,63,19.31208,8.0467,0.0,1009.14422,1005.75783,1005.75783,0.0
2,12,2012,12.777777777777779,10.055555555555555,7.777777777777778,10.0,7.833333333333333,6.111111111111111,100,86.4,72,25.74944,12.87472,0.0,1026.07617,1015.917,1009.14422,0.0
3,12,2012,17.22222222222222,9.888888888888888,5.0,11.11111111111111,6.611111111111111,3.888888888888889,93,81.2,59,22.53076,10.943512,0.0,1026.07617,1026.07617,1026.07617,0.0
4,12,2012,18.88888888888889,12.111111111111109,6.111111111111111,11.11111111111111,7.11111111111111,3.888888888888889,93,73.7,45,22.53076,16.89807,0.0,1026.07617,1019.30339,1015.917,0.0
5,12,2012,16.11111111111111,11.88888888888889,10.0,10.0,9.11111111111111,7.222222222222222,94,84.8,68,28.96812,12.713786,0.0,1015.917,1015.917,1015.917,0.0
6,12,2012,17.77777777777778,11.333333333333334,7.777777777777778,8.88888888888889,6.7777777777777795,5.0,93,74.7,48,22.53076,9.977908000000001,0.0,1019.30339,1019.30339,1015.917,0.0
7,12,2012,13.88888888888889,10.277777777777779,6.111111111111111,10.0,6.944444444444445,3.888888888888889,87,80.0,67,19.31208,12.230984,0.0,1019.30339,1015.917,1012.53061,0.0
8,12,2012,15.0,12.5,10.0,12.777777777777779,10.666666666666668,8.88888888888889,100,88.8,67,22.53076,10.138842,0.0,1022.68978,1015.917,1012.53061,0.0
9,12,2012,13.88888888888889,9.833333333333336,7.222222222222222,10.0,7.3888888888888875,6.111111111111111,94,85.3,59,16.0934,7.724831999999999,0.0,1026.07617,1022.68978,1022.68978,0.0
10,12,2012,17.77777777777778,9.444444444444445,5.0,7.777777777777778,5.277777777777778,3.888888888888889,93,77.5,40,25.74944,12.552852,0.0,1026.07617,1019.30339,1015.917,0.0
11,12,2012,12.777777777777779,9.055555555555554,6.111111111111111,11.11111111111111,7.166666666666667,3.888888888888889,100,88.6,77,19.31208,7.724831999999999,0.0,1019.30339,1019.30339,1015.917,0.0
12,12,2012,16.11111111111111,10.111111111111112,7.222222222222222,10.0,7.3888888888888875,5.0,100,83.8,59,22.53076,11.587248,0.0,1019.30339,1019.30339,1015.917,0.0
13,12,2012,18.88888888888889,11.833333333333332,7.777777777777778,11.11111111111111,7.055555555555557,5.0,93,74.0,45,22.53076,7.24203,0.0,1015.917,1015.917,1012.53061,0.0
14,12,2012,18.88888888888889,11.444444444444445,7.222222222222222,11.11111111111111,7.055555555555557,5.0,93,75.9,49,22.53076,11.426314,0.0,1019.30339,1019.30339,1015.917,0.0
15,12,2012,22.22222222222222,13.555555555555555,7.777777777777778,12.777777777777779,9.333333333333332,7.222222222222222,94,77.2,50,22.53076,10.299776000000001,0.0,1022.68978,1019.30339,1019.30339,0.0
16,12,2012,17.77777777777778,15.444444444444445,12.777777777777779,13.88888888888889,11.333333333333334,8.88888888888889,94,77.5,59,19.31208,8.368568,0.0,1022.68978,1022.68978,1022.68978,0.0
17,12,2012,22.77777777777778,16.166666666666668,12.777777777777779,12.777777777777779,11.722222222222221,10.0,94,75.5,53,22.53076,9.012303999999999,0.0,1022.68978,1019.30339,1019.30339,0.0
18,12,2012,18.88888888888889,12.722222222222221,7.777777777777778,13.88888888888889,10.166666666666664,7.777777777777778,100,86.0,64,19.31208,8.0467,0.0,1022.68978,1019.30339,1019.30339,0.0
